Subject,Predicate,Object
Silk Panel made from a Fragment of a Woman's Skirt,文化,Chinese
Silk Panel made from a Fragment of a Woman's Skirt,制作时间,date unknown
Silk Panel made from a Fragment of a Woman's Skirt,材质,gold wrapped silk thread; silk satin; silk; silk brocade; silk floss; embroidery
Silk Panel made from a Fragment of a Woman's Skirt,尺寸,overall: 38.2 cm x 46 cm
Silk Panel made from a Fragment of a Woman's Skirt,对象类型,panel
Silk Panel made from a Fragment of a Woman's Skirt,时期,Qing 19th century
Silk Panel made from a Fragment of a Woman's Skirt,制作地点,China
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",创作者,Wang Gai
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",类别,published works
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",捐赠来源,Gift of Sandy and Cécile Mactaggart
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",文化,Chinese
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",制作时间,19th century
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",描述,"One imprint of the Jieziyuan huazhuan [Mustard Seed Garden Painting Manual], illustrated by Wang Gai. 5 vols, chapter 4. Woodblock printed, thread binding. Later 19th century imprint of original 1679 edition on landscape published by Li Yü in Nanjing."
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",材质,"printed woodblock, thread binding"
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",尺寸,overall: 26.1 cm x 18 cm x 1.1 cm
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",对象类型,book
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",时期,Qing 19th century
"Mustard Seed Garden Painting Manual, 1st edition, chapter 4",制作地点,China
Embroidered Green Silk Informal Robe for a Woman,创作者,unknown
Embroidered Green Silk Informal Robe for a Woman,类别,clothing
Embroidered Green Silk Informal Robe for a Woman,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Green Silk Informal Robe for a Woman,文化,Chinese
Embroidered Green Silk Informal Robe for a Woman,制作时间,date unknown
Embroidered Green Silk Informal Robe for a Woman,材质,pale green-blue silk satin embroidered with silk
Embroidered Green Silk Informal Robe for a Woman,尺寸,overall: 137 cm x 193 cm; neck to hem: 137 cm; cuff to cuff: x 193 cm
Embroidered Green Silk Informal Robe for a Woman,对象类型,robe
Embroidered Green Silk Informal Robe for a Woman,时期,Qing 19th century
Embroidered Green Silk Informal Robe for a Woman,制作地点,China
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,创作者,unknown
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,类别,textiles
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,文化,Chinese
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,制作时间,1736-1795
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This pair of rank badges features a bear, representing a fifth rank military official. The bear insignia is distinguishable from the higher-ranking lion by the absence of a mane along its back, though the two designs share a similarity in overall appearance. This particular badge  is crafted entirely with knot stitches and couched cord. The border is adorned with stylized running dragons, bats, and shou characters (symbolizing longevity)"
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,材质,silk and metal-wrapped thread embroidery
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,对象类型,rank badge
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,时期,Qing 18th century
Partial Front Panel and Back Panel of a Rank Badge for a Fifth Rank Military Official,制作地点,China
Old Temple in Autumn Mountains,创作者,Wu Guxiang
Old Temple in Autumn Mountains,类别,paintings
Old Temple in Autumn Mountains,捐赠来源,Gift of Sandy and Cécile Mactaggart
Old Temple in Autumn Mountains,文化,Chinese
Old Temple in Autumn Mountains,制作时间,1877
Old Temple in Autumn Mountains,描述,A handscroll painting depicting a temple in a treed landscape.
Old Temple in Autumn Mountains,题跋,"Signed 'Copied by Wu Guxiang' and impressed with 1 artist seal.  There are 3 inscriptions, including one by Yang Yisun, dated 1877, and one by Zhao Liwen, dated 1877."
Old Temple in Autumn Mountains,材质,ink and colour on paper
Old Temple in Autumn Mountains,尺寸,sheet: 35.9 cm x 795 cm; image: 34.3 cm x 138.4 cm
Old Temple in Autumn Mountains,对象类型,handscroll
Old Temple in Autumn Mountains,时期,Qing 19th century
Old Temple in Autumn Mountains,制作地点,China
Silk Fragmentary Panel from a Woman's Informal Robe,创作者,unknown
Silk Fragmentary Panel from a Woman's Informal Robe,类别,textiles
Silk Fragmentary Panel from a Woman's Informal Robe,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Fragmentary Panel from a Woman's Informal Robe,文化,Chinese
Silk Fragmentary Panel from a Woman's Informal Robe,制作时间,date unknown
Silk Fragmentary Panel from a Woman's Informal Robe,材质,silk; silk floss; silk jacquard; silk satin; embroidery
Silk Fragmentary Panel from a Woman's Informal Robe,尺寸,overall: 102.1 cm x 44.6 cm
Silk Fragmentary Panel from a Woman's Informal Robe,对象类型,panel
Silk Fragmentary Panel from a Woman's Informal Robe,时期,Qing 19th century
Silk Fragmentary Panel from a Woman's Informal Robe,制作地点,China
Embroidered Red Silk Panel,创作者,unknown
Embroidered Red Silk Panel,类别,textiles
Embroidered Red Silk Panel,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Red Silk Panel,文化,Chinese
Embroidered Red Silk Panel,制作时间,date unknown
Embroidered Red Silk Panel,材质,gold wrapped silk thread; silk; silk brocade; silk floss; silk jacquard; silk satin; embroidery
Embroidered Red Silk Panel,尺寸,overall: 69 cm x 49.7 cm
Embroidered Red Silk Panel,对象类型,panel
Embroidered Red Silk Panel,时期,Qing 19th century
Embroidered Red Silk Panel,制作地点,China
Two Embroidered Blue Silk Panels,创作者,unknown
Two Embroidered Blue Silk Panels,类别,textiles
Two Embroidered Blue Silk Panels,捐赠来源,Gift of Sandy and Cécile Mactaggart
Two Embroidered Blue Silk Panels,文化,Chinese
Two Embroidered Blue Silk Panels,制作时间,date unknown
Two Embroidered Blue Silk Panels,材质,silk; silk floss; silk jacquard; silk satin; embroidery
Two Embroidered Blue Silk Panels,对象类型,panel
Two Embroidered Blue Silk Panels,时期,Qing 20th century
Two Embroidered Blue Silk Panels,制作地点,China
Lid of Box for Bamboo in the Wind,创作者,unknown
Lid of Box for Bamboo in the Wind,类别,containers
Lid of Box for Bamboo in the Wind,捐赠来源,Gift of Sandy and Cécile Mactaggart
Lid of Box for Bamboo in the Wind,文化,Chinese
Lid of Box for Bamboo in the Wind,制作时间,date unknown
Lid of Box for Bamboo in the Wind,描述,Lid of storage box for hanging scroll.
Lid of Box for Bamboo in the Wind,材质,wood
Lid of Box for Bamboo in the Wind,对象类型,"box, lid"
Lid of Box for Bamboo in the Wind,时期,Ming 15th century
Lid of Box for Bamboo in the Wind,制作地点,China
Blue Silk Tapestry Weave Roundel,创作者,unknown
Blue Silk Tapestry Weave Roundel,类别,clothing
Blue Silk Tapestry Weave Roundel,捐赠来源,Gift of Sandy and Cécile Mactaggart
Blue Silk Tapestry Weave Roundel,文化,Chinese
Blue Silk Tapestry Weave Roundel,制作时间,date unknown
Blue Silk Tapestry Weave Roundel,材质,metal thread; silk; silk brocade
Blue Silk Tapestry Weave Roundel,尺寸,overall: 31.1 diameter
Blue Silk Tapestry Weave Roundel,对象类型,roundel
Blue Silk Tapestry Weave Roundel,时期,Qing 19th century
Blue Silk Tapestry Weave Roundel,制作地点,China
Album Leaf from Insects,创作者,unknown
Album Leaf from Insects,类别,albums
Album Leaf from Insects,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Insects,文化,Chinese
Album Leaf from Insects,制作时间,date unknown
Album Leaf from Insects,描述,A painting of three butterflies and a dragon fly.
Album Leaf from Insects,材质,ink; paper
Album Leaf from Insects,尺寸,sheet: 35.5 cm x 43.1 cm; image: 21.4 cm x 24 cm
Album Leaf from Insects,对象类型,album leaf
Album Leaf from Insects,时期,Qing 18th-19th centuries
Album Leaf from Insects,制作地点,China
Silk Fragmentary Panel,创作者,unknown
Silk Fragmentary Panel,类别,textiles
Silk Fragmentary Panel,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Fragmentary Panel,文化,Chinese
Silk Fragmentary Panel,制作时间,ca. 1900
Silk Fragmentary Panel,材质,metallic thread; silk; silk brocade; silk jacquard
Silk Fragmentary Panel,尺寸,overall: 92.8 cm x 76.9 cm
Silk Fragmentary Panel,对象类型,panel
Silk Fragmentary Panel,时期,Qing 19th-20th centuries
Silk Fragmentary Panel,制作地点,China
Green Cut Velvet Silk,创作者,unknown
Green Cut Velvet Silk,类别,textiles
Green Cut Velvet Silk,捐赠来源,Gift of Sandy and Cécile Mactaggart
Green Cut Velvet Silk,文化,Chinese
Green Cut Velvet Silk,制作时间,date unknown
Green Cut Velvet Silk,材质,silk cut velvet; silk sateen
Green Cut Velvet Silk,尺寸,overall: 63 cm x 716 cm
Green Cut Velvet Silk,对象类型,yardage
Green Cut Velvet Silk,时期,Qing 20th century
Green Cut Velvet Silk,制作地点,China
Silk Brocade Panel made from a Fragment of a Dragon Robe,创作者,unknown
Silk Brocade Panel made from a Fragment of a Dragon Robe,类别,textiles
Silk Brocade Panel made from a Fragment of a Dragon Robe,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Brocade Panel made from a Fragment of a Dragon Robe,文化,Chinese
Silk Brocade Panel made from a Fragment of a Dragon Robe,制作时间,ca. 1900
Silk Brocade Panel made from a Fragment of a Dragon Robe,材质,silk; silk brocade; silk satin; metallic thread
Silk Brocade Panel made from a Fragment of a Dragon Robe,尺寸,overall: 84.4 cm x 49.7 cm
Silk Brocade Panel made from a Fragment of a Dragon Robe,对象类型,panel
Silk Brocade Panel made from a Fragment of a Dragon Robe,时期,Qing 19th-20th centuries
Silk Brocade Panel made from a Fragment of a Dragon Robe,制作地点,China
Black Silk Gauze Three Quarter Length Robe,创作者,unknown
Black Silk Gauze Three Quarter Length Robe,类别,clothing
Black Silk Gauze Three Quarter Length Robe,捐赠来源,Gift of Sandy and Cécile Mactaggart
Black Silk Gauze Three Quarter Length Robe,文化,Chinese
Black Silk Gauze Three Quarter Length Robe,制作时间,date unknown
Black Silk Gauze Three Quarter Length Robe,材质,black figured silk gauze
Black Silk Gauze Three Quarter Length Robe,尺寸,overall: 117 cm x 158 cm
Black Silk Gauze Three Quarter Length Robe,对象类型,robe
Black Silk Gauze Three Quarter Length Robe,时期,Qing 19th century
Black Silk Gauze Three Quarter Length Robe,制作地点,China
Scenery of Shanbei,创作者,"Shi Lu											
											 
												
												
													
														View People Details »"
Scenery of Shanbei,类别,paintings
Scenery of Shanbei,捐赠来源,Gift of Sandy and Cécile Mactaggart
Scenery of Shanbei,文化,Chinese
Scenery of Shanbei,制作时间,date unknown
Scenery of Shanbei,描述,A hanging scroll painting of a mountain landscape.
Scenery of Shanbei,题跋,Signed by Shi Lu and impressed with 1 artist seal.
Scenery of Shanbei,材质,ink and colour on paper
Scenery of Shanbei,尺寸,sheet: 264.4 cm x 112.2 cm; image: 166.9 cm x 95.2 cm
Scenery of Shanbei,对象类型,hanging scroll
Scenery of Shanbei,时期,Modern 20th century
Scenery of Shanbei,制作地点,China
Skirt from ceremonial armour,类别,costumes
Skirt from ceremonial armour,捐赠来源,Gift of Sandy and Cécile Mactaggart
Skirt from ceremonial armour,文化,Chinese
Skirt from ceremonial armour,制作时间,Qing Dynasty (1644-1912)
Skirt from ceremonial armour,描述,"Military skirt for man with silk stain sash at waist, appliqued with two roundels. Quilted, lined with four black silk satin loops , aluminum studs and aluminum jewel settings."
Skirt from ceremonial armour,材质,"silk, metal threads, silk or cotton velvet"
Skirt from ceremonial armour,尺寸,overall (with arms): 88 cm x 128 cm
Skirt from ceremonial armour,对象类型,skirt
Skirt from ceremonial armour,制作地点,China
Battle Scene from the Nian Rebellion,创作者,unknown
Battle Scene from the Nian Rebellion,类别,paintings
Battle Scene from the Nian Rebellion,捐赠来源,Gift of Sandy and Cécile Mactaggart
Battle Scene from the Nian Rebellion,文化,Chinese
Battle Scene from the Nian Rebellion,制作时间,late 1870s
Battle Scene from the Nian Rebellion,描述,"A large painting on silk depicting the Nian Rebellion in a landscape with cliffs, mountains, and trees. A strategic perspective, which oversees all of the action from above, allows the viewer to see the swirling government armies in their pursuit of the rebellious Nian. There are small groups of buildings throughout the top third of the painting. Cavalry and infantry are in active combat, with many casualties seen spread around the battlefield. Notable figures have small name plates positioned above their heads to identify them to the viewer.
This painting is part of a larger series of approximately 70 paintings commissioned by the Guangxu Emperor in 1885, approved by Empress Dowager Cixi in 1886, and completed in 1890. These paintings - split into four groups - commemorate the Taiping War, the Nian Rebellion, the Muslim Rebellion in Yunnan and Guizhou provinces, and the Muslim Rebellion on the southwest and northwest borders. The military prowess of the Qing government is highlighted and glorified in each of these paintings. Two of these paintings are accessioned in the Mactaggart Art Collection, please see Battle Scene from the Nian Rebellion (2004.19.49)."
Battle Scene from the Nian Rebellion,材质,ink and colour on silk
Battle Scene from the Nian Rebellion,尺寸,overall: 149.3 cm x 314.2 cm x 3.3 cm; image: 136.1 cm x 303.8 cm
Battle Scene from the Nian Rebellion,对象类型,painting
Battle Scene from the Nian Rebellion,时期,Qing 19th century
Battle Scene from the Nian Rebellion,制作地点,China
Embroidered Cream Silk Bed Cover for Export To Europe,创作者,unknown
Embroidered Cream Silk Bed Cover for Export To Europe,类别,textiles
Embroidered Cream Silk Bed Cover for Export To Europe,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Cream Silk Bed Cover for Export To Europe,文化,Chinese
Embroidered Cream Silk Bed Cover for Export To Europe,制作时间,date unknown
Embroidered Cream Silk Bed Cover for Export To Europe,材质,off-white silk satin embroidered with silk and metal-wrapped threads
Embroidered Cream Silk Bed Cover for Export To Europe,尺寸,overall: 314.5 cm x 287 cm
Embroidered Cream Silk Bed Cover for Export To Europe,对象类型,bed cover
Embroidered Cream Silk Bed Cover for Export To Europe,时期,Qing 17th century
Embroidered Cream Silk Bed Cover for Export To Europe,制作地点,China
Silk Tapestry Weave Fragment from a Hanging,创作者,unknown
Silk Tapestry Weave Fragment from a Hanging,类别,textiles
Silk Tapestry Weave Fragment from a Hanging,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Tapestry Weave Fragment from a Hanging,文化,Chinese
Silk Tapestry Weave Fragment from a Hanging,制作时间,1662-1722
Silk Tapestry Weave Fragment from a Hanging,材质,gold wrapped silk thread; silk tapestry weave
Silk Tapestry Weave Fragment from a Hanging,尺寸,overall: 74.3 cm x 23.3 cm
Silk Tapestry Weave Fragment from a Hanging,对象类型,fragment
Silk Tapestry Weave Fragment from a Hanging,时期,Qing 17th-18th centuries
Silk Tapestry Weave Fragment from a Hanging,制作地点,China
Apricot Silk Tapestry Weave Dragon Robe,创作者,unknown
Apricot Silk Tapestry Weave Dragon Robe,类别,clothing
Apricot Silk Tapestry Weave Dragon Robe,捐赠来源,Gift of Sandy and Cécile Mactaggart
Apricot Silk Tapestry Weave Dragon Robe,文化,Chinese
Apricot Silk Tapestry Weave Dragon Robe,制作时间,date unknown
Apricot Silk Tapestry Weave Dragon Robe,材质,metal-wrapped thread and silk tapestry weave
Apricot Silk Tapestry Weave Dragon Robe,尺寸,overall: 141.5 cm x 193.5 cm; neck to hem: 141.5 cm; cuff to cuff: x 193.5 cm
Apricot Silk Tapestry Weave Dragon Robe,对象类型,robe
Apricot Silk Tapestry Weave Dragon Robe,时期,Qing 19th century
Apricot Silk Tapestry Weave Dragon Robe,制作地点,China
Back Panel of a Rank Badge for a Fifth Rank Civil Official,创作者,unknown
Back Panel of a Rank Badge for a Fifth Rank Civil Official,类别,textiles
Back Panel of a Rank Badge for a Fifth Rank Civil Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Back Panel of a Rank Badge for a Fifth Rank Civil Official,文化,Chinese
Back Panel of a Rank Badge for a Fifth Rank Civil Official,制作时间,1862-1874
Back Panel of a Rank Badge for a Fifth Rank Civil Official,描述,"Qing Period (1644-1911), Fifth Rank Civil Official (Silver Pheasant)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)"
Back Panel of a Rank Badge for a Fifth Rank Civil Official,材质,gold wrapped silk thread; silk; silk floss; silk gauze; embroidery
Back Panel of a Rank Badge for a Fifth Rank Civil Official,尺寸,overall: 29.8 cm x 32.8 cm
Back Panel of a Rank Badge for a Fifth Rank Civil Official,对象类型,rank badge
Back Panel of a Rank Badge for a Fifth Rank Civil Official,时期,Qing 19th century
Back Panel of a Rank Badge for a Fifth Rank Civil Official,制作地点,China
Cobalt Blue Gauze Silk Robe for a Man,创作者,unknown
Cobalt Blue Gauze Silk Robe for a Man,类别,clothing
Cobalt Blue Gauze Silk Robe for a Man,捐赠来源,Gift of Sandy and Cécile Mactaggart
Cobalt Blue Gauze Silk Robe for a Man,文化,Chinese
Cobalt Blue Gauze Silk Robe for a Man,制作时间,date unknown
Cobalt Blue Gauze Silk Robe for a Man,材质,dark blue figured silk gauze
Cobalt Blue Gauze Silk Robe for a Man,尺寸,overall: 133 cm x 224 cm; neck to hem: 133 cm; cuff to cuff: x 224 cm
Cobalt Blue Gauze Silk Robe for a Man,对象类型,robe
Cobalt Blue Gauze Silk Robe for a Man,时期,Qing 19th century
Cobalt Blue Gauze Silk Robe for a Man,制作地点,China
Front Panel of a Rank Badge for a Seventh Rank Civil Official,创作者,unknown
Front Panel of a Rank Badge for a Seventh Rank Civil Official,类别,textiles
Front Panel of a Rank Badge for a Seventh Rank Civil Official,捐赠来源,Gift of Jean Small
Front Panel of a Rank Badge for a Seventh Rank Civil Official,文化,Chinese
Front Panel of a Rank Badge for a Seventh Rank Civil Official,制作时间,1870-1880
Front Panel of a Rank Badge for a Seventh Rank Civil Official,描述,Front panel of a rank badge depicting a mandarin duck for a seventh rank civil official.
Front Panel of a Rank Badge for a Seventh Rank Civil Official,材质,silk and metal-wrapped thread tapestry weave with ink
Front Panel of a Rank Badge for a Seventh Rank Civil Official,尺寸,overall: 34 cm x 35.5 cm
Front Panel of a Rank Badge for a Seventh Rank Civil Official,对象类型,rank badge
Front Panel of a Rank Badge for a Seventh Rank Civil Official,时期,Qing 19th century
Front Panel of a Rank Badge for a Seventh Rank Civil Official,制作地点,China
Embroidered Red Silk Skirt for a Woman,创作者,unknown
Embroidered Red Silk Skirt for a Woman,类别,clothing
Embroidered Red Silk Skirt for a Woman,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Red Silk Skirt for a Woman,文化,Chinese
Embroidered Red Silk Skirt for a Woman,制作时间,date unknown
Embroidered Red Silk Skirt for a Woman,材质,red silk damask with silk satin panels embroidered with silk and metal-wrapped threads
Embroidered Red Silk Skirt for a Woman,尺寸,overall: 95.2 cm
Embroidered Red Silk Skirt for a Woman,对象类型,skirt
Embroidered Red Silk Skirt for a Woman,时期,Qing 19th century
Embroidered Red Silk Skirt for a Woman,制作地点,China
Album Leaf from Insects,创作者,unknown
Album Leaf from Insects,类别,albums
Album Leaf from Insects,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Insects,文化,Chinese
Album Leaf from Insects,制作时间,date unknown
Album Leaf from Insects,描述,A painting of three butterflies and two other insects.
Album Leaf from Insects,材质,ink; paper
Album Leaf from Insects,尺寸,sheet: 35.4 cm x 43.3 cm; image: 21.7 cm x 26.7 cm
Album Leaf from Insects,对象类型,album leaf
Album Leaf from Insects,时期,Qing 18th-19th centuries
Album Leaf from Insects,制作地点,China
Two Silk Fragmentary Panels,创作者,unknown
Two Silk Fragmentary Panels,类别,textiles
Two Silk Fragmentary Panels,捐赠来源,Gift of Sandy and Cécile Mactaggart
Two Silk Fragmentary Panels,文化,Chinese
Two Silk Fragmentary Panels,制作时间,ca. 1900
Two Silk Fragmentary Panels,材质,metallic thread; silk; silk brocade; silk jacquard
Two Silk Fragmentary Panels,对象类型,panel
Two Silk Fragmentary Panels,时期,Qing 19th-20th centuries
Two Silk Fragmentary Panels,制作地点,China
Left Side of Front Panel of a Rank Badge for a Sixth Rank Civil Official,创作者,unknown
Left Side of Front Panel of a Rank Badge for a Sixth Rank Civil Official,类别,textiles
Left Side of Front Panel of a Rank Badge for a Sixth Rank Civil Official,文化,Chinese
Left Side of Front Panel of a Rank Badge for a Sixth Rank Civil Official,制作时间,ca. 1880
Left Side of Front Panel of a Rank Badge for a Sixth Rank Civil Official,描述,"Fine counted stitch on black silk gauze. Bird (egret) couched in silver, with gold couched head. Birds surrounded  by clouds, Daoist emblems and gold couched scrolling vines. Further auspicious emblems, including  Buddhist emblems float amidst the ruyi-shaped waves of the li shui border below. Rank badge for a man, 6th rank civil official."
Left Side of Front Panel of a Rank Badge for a Sixth Rank Civil Official,材质,silk thread on silk gauze; gold and silver metallic threads; embroidering; couching
Left Side of Front Panel of a Rank Badge for a Sixth Rank Civil Official,尺寸,overall: 28.9 cm x 14.6 cm
Left Side of Front Panel of a Rank Badge for a Sixth Rank Civil Official,对象类型,rank badge
Silk Tapestry Weave Sleeve Band,创作者,unknown
Silk Tapestry Weave Sleeve Band,类别,clothing
Silk Tapestry Weave Sleeve Band,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Tapestry Weave Sleeve Band,文化,Chinese
Silk Tapestry Weave Sleeve Band,制作时间,ca. 1450-ca. 1500
Silk Tapestry Weave Sleeve Band,材质,gold wrapped silk thread; silk tapestry weave
Silk Tapestry Weave Sleeve Band,尺寸,overall: 102.1 cm x 12.4 cm
Silk Tapestry Weave Sleeve Band,对象类型,sleeve band
Silk Tapestry Weave Sleeve Band,时期,Ming 15th century
Silk Tapestry Weave Sleeve Band,制作地点,China
Jacket for Puppet Costume,创作者,unknown
Jacket for Puppet Costume,类别,textiles
Jacket for Puppet Costume,捐赠来源,Gift of Jean Small
Jacket for Puppet Costume,文化,Chinese
Jacket for Puppet Costume,制作时间,1900-1920
Jacket for Puppet Costume,材质,"white silk satin embroidered with silk and metal-wrapped threads, trimmed with fur"
Jacket for Puppet Costume,尺寸,overall: 58.6 cm x 55.2 cm
Jacket for Puppet Costume,对象类型,jacket
Jacket for Puppet Costume,制作地点,China
Silk Gauze Vest for a Woman,创作者,unknown
Silk Gauze Vest for a Woman,类别,clothing
Silk Gauze Vest for a Woman,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Gauze Vest for a Woman,文化,Chinese
Silk Gauze Vest for a Woman,制作时间,date unknown
Silk Gauze Vest for a Woman,材质,pale green silk gauze embroidered with silk and metal-wrapped threads
Silk Gauze Vest for a Woman,尺寸,overall: 53 cm x 55.5 cm; neck to hem: 53 cm; hem: 55.5 cm
Silk Gauze Vest for a Woman,对象类型,vest
Silk Gauze Vest for a Woman,时期,Qing 19th-20th centuries
Silk Gauze Vest for a Woman,制作地点,China
Shoe for Actor's Costume,创作者,unknown
Shoe for Actor's Costume,类别,clothing
Shoe for Actor's Costume,捐赠来源,Gift of Sandy and Cécile Mactaggart
Shoe for Actor's Costume,文化,Chinese
Shoe for Actor's Costume,制作时间,ca. 1930
Shoe for Actor's Costume,材质,metallic thread; silk; metal discs; cotton; leather
Shoe for Actor's Costume,尺寸,overall: 5 cm x 8.4 cm
Shoe for Actor's Costume,对象类型,shoe
Shoe for Actor's Costume,时期,Modern 20th century
Shoe for Actor's Costume,制作地点,China
Embroidered Red Silk Panel,创作者,unknown
Embroidered Red Silk Panel,类别,textiles
Embroidered Red Silk Panel,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Red Silk Panel,文化,Chinese
Embroidered Red Silk Panel,制作时间,date unknown
Embroidered Red Silk Panel,材质,metallic thread; silk damask; silk floss; embroidery
Embroidered Red Silk Panel,尺寸,overall: 582.5 cm x 76.5 cm
Embroidered Red Silk Panel,对象类型,panel
Embroidered Red Silk Panel,时期,Qing 19th century
Embroidered Red Silk Panel,制作地点,China
Front Panel of a Rank Badge for a Fourth Rank Military Official,创作者,unknown
Front Panel of a Rank Badge for a Fourth Rank Military Official,类别,textiles
Front Panel of a Rank Badge for a Fourth Rank Military Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Front Panel of a Rank Badge for a Fourth Rank Military Official,文化,Chinese
Front Panel of a Rank Badge for a Fourth Rank Military Official,制作时间,1862-1874
Front Panel of a Rank Badge for a Fourth Rank Military Official,描述,"Qing Period (1644-1911), Fourth Rank Military Official (Tiger)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)"
Front Panel of a Rank Badge for a Fourth Rank Military Official,材质,silk and metal-wrapped thread embroidery with ink
Front Panel of a Rank Badge for a Fourth Rank Military Official,对象类型,rank badge
Front Panel of a Rank Badge for a Fourth Rank Military Official,时期,Qing 19th century
Front Panel of a Rank Badge for a Fourth Rank Military Official,制作地点,China
Base of Box for Summer Retreat in a River Village,创作者,unknown
Base of Box for Summer Retreat in a River Village,类别,containers
Base of Box for Summer Retreat in a River Village,捐赠来源,Gift of Sandy and Cécile Mactaggart
Base of Box for Summer Retreat in a River Village,文化,Chinese
Base of Box for Summer Retreat in a River Village,制作时间,date unknown
Base of Box for Summer Retreat in a River Village,描述,Base of storage box for handscroll.
Base of Box for Summer Retreat in a River Village,材质,varnished wood with silk lining
Base of Box for Summer Retreat in a River Village,尺寸,7.0 cm x 7.3 cm x 34.9 cm
Base of Box for Summer Retreat in a River Village,对象类型,"box, base"
Base of Box for Summer Retreat in a River Village,时期,Qing 17th-18th centuries
Base of Box for Summer Retreat in a River Village,制作地点,China
Album Leaf from Album of Landscape Paintings,创作者,Pan Gongshou
Album Leaf from Album of Landscape Paintings,类别,albums
Album Leaf from Album of Landscape Paintings,捐赠来源,Purchased by Museums and Collections Services
Album Leaf from Album of Landscape Paintings,文化,Chinese
Album Leaf from Album of Landscape Paintings,制作时间,ca. 1790
Album Leaf from Album of Landscape Paintings,材质,ink and colour on paper
Album Leaf from Album of Landscape Paintings,尺寸,overall: 49 cm x 32 cm; sheet: 49 cm x 32 cm; image: 42 cm x 23 cm
Album Leaf from Album of Landscape Paintings,对象类型,album leaf
Album Leaf from Album of Landscape Paintings,制作地点,"China: Jiangsu, Yangzhou"
Album Leaf from Illustrations of Costumes from the Qianlong Court,创作者,unknown
Album Leaf from Illustrations of Costumes from the Qianlong Court,类别,albums
Album Leaf from Illustrations of Costumes from the Qianlong Court,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Costumes from the Qianlong Court,文化,Chinese
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作时间,ca. 1759
Album Leaf from Illustrations of Costumes from the Qianlong Court,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of  one folio (attached to 2004.19.1.29) and it contains seven columns of regular script calligraphy describing the regulations of a winter court robe (chaopao), the second style for the empress dowager and empress.  The text on this leaf continues from the attached leaf on the right side."
